timestamp,gamma_rad,dgamma_radps,phi_rad,dphi_radps
3.2530860901, 3.0485022068, 0.0021946717, -0.0627281144, -0.0000000000
3.2629954815, 3.0485022068, 0.0000201224, -0.0627281144, -0.0000000000
3.2729988098, 3.0485022068, 0.0011109532, -0.0626645014, -0.0000000000
3.2830004692, 3.0485022068, -0.0000005914, -0.0626645014, -0.0000000000
3.2929098606, 3.0485022068, 0.0000081082, -0.0626645014, -0.0000000000
3.3029091358, 3.0485022068, 0.0010920134, -0.0626645014, -0.0000000000
3.3129167557, 3.0485022068, 0.0000120769, -0.0626645014, -0.0000000000
3.3228261471, 3.0485022068, 0.0000184110, -0.0626645014, -0.0000000000
3.3328311443, 3.0485022068, 0.0010787540, -0.0626645014, -0.0000000000
3.3428301811, 3.0485022068, -0.0032730838, -0.0626645014, -0.0000000000
3.3527388573, 3.0485022068, -0.0010718284, -0.0626645014, -0.0000000000
3.3627369404, 3.0485022068, 0.0010914222, -0.0626645014, -0.0000000000
3.3727445602, 3.0485022068, 0.0000184110, -0.0626645014, -0.0000000000
3.3827347755, 3.0485022068, 0.0000190023, -0.0626645014, -0.0000000000
3.3926470280, 3.0485022068, -0.0000069255, -0.0626645014, -0.0000000000
3.4026558399, 3.0485022068, 0.0010844966, -0.0626645014, -0.0000000000
3.4126443863, 3.0485022068, -0.0021747360, -0.0626645014, -0.0000000000
3.4225690365, 3.0485022068, 0.0000190023, -0.0626645014, -0.0000000000
3.4325630665, 3.0485022068, -0.0021672191, -0.0621638782, -0.0000000000
3.4425666332, 3.0485022068, 0.0010780315, -0.0621638782, -0.0000000000
3.4524850845, 3.0485022068, 0.0010710345, -0.0618499294, -0.0000000000
3.4624819756, 3.0485022068, -0.0021799079, -0.0618499294, -0.0000000000
3.4724912643, 3.0485022068, -0.0010965078, -0.0617565736, -0.0000000000
3.4824175835, 3.0485022068, 0.0000000000, -0.0617565736, -0.0000000000
3.4923901558, 3.0485022068, -0.0021747041, -0.0614426062, -0.0000000000
3.5023906231, 3.0485022068, 0.0010777989, -0.0614426062, -0.0000000000
3.5123155117, 3.0485022068, -0.0000056441, -0.0614426062, -0.0000000000
3.5223152637, 3.0485022068, -0.0011151510, -0.0614426062, -0.0000000000
3.5323188305, 3.0485022068, -0.0022003376, -0.0614426062, -0.0000000000
3.5422260761, 3.0485022068, 0.0000056441, -0.0614426062, -0.0000000000
3.5522279739, 3.0485022068, 0.0010840243, -0.0614426062, -0.0000000000
3.5622148514, 3.0485022068, 0.0011038627, -0.0614426062, -0.0000000000
3.5722324848, 3.0485022068, -0.0010908308, -0.0611922517, -0.0000000000
3.5821409225, 3.0485022068, -0.0021947618, -0.0611922517, -0.0000000000
3.5921311378, 3.0485022068, -0.0010914151, -0.0611922517, -0.0000000000
3.6021327972, 3.0485022068, 0.0000187739, -0.0611922517, -0.0000000000
3.6120467186, 3.0485022068, 0.0010896623, -0.0611922517, -0.0000000000
3.6220462322, 3.0485022068, -0.0021685613, -0.0611922517, -0.0000000000
3.6320495605, 3.0485022068, -0.0010839885, -0.0611922517, -0.0000000000
3.6419584751, 3.0485022068, 0.0000080107, -0.0611922517, -0.0000000000
3.6519598961, 3.0485022068, 0.0010834043, -0.0611922517, -0.0000000000
3.6619632244, 3.0485022068, -0.0021810774, -0.0611922517, -0.0000000000
3.6718966961, 3.0485022068, -0.0000011685, -0.0611922517, -0.0000000000
3.6818728447, 3.0485022068, -0.0010788991, -0.0611922517, -0.0000000000
3.6918811798, 3.0485022068, -0.0022010196, -0.0611922517, -0.0000000000
3.7018048763, 3.0485022068, -0.0022055248, -0.0611922517, -0.0000000000
3.7118053436, 3.0485022068, -0.0000056737, -0.0611922517, -0.0000000000
3.7218067646, 3.0485022068, -0.0010732253, -0.0611922517, -0.0000000000
3.7318027020, 3.0485022068, -0.0000074265, -0.0611922517, -0.0000000000
3.7417156696, 3.0485022068, 0.0010783148, -0.0611922517, -0.0000000000
3.7517173290, 3.0485022068, 0.0010851570, -0.0611922517, -0.0000000000
3.7617301941, 3.0485022068, -0.0010777306, -0.0611922517, -0.0000000000
3.7716228962, 3.0485022068, 0.0011295471, -0.0610206872, -0.0000000000
3.7816257477, 3.0485022068, -0.0000050322, -0.0610206872, -0.0000000000
3.7916069031, 3.0485022068, 0.0021866937, -0.0607703738, -0.0000000000
3.8015749454, 3.0485022068, 0.0021985800, -0.0607703738, -0.0000000000
3.8115556240, 3.0485022068, 0.0022003220, -0.0606134124, -0.0000000000
3.8215239048, 3.0485022068, 0.0010987049, -0.0606134124, -0.0000000000
3.8314931393, 3.0485022068, 0.0021816615, -0.0606134124, -0.0000000000
3.8414628506, 3.0485022068, 0.0010785282, -0.0606134124, -0.0000000000
3.8514788151, 3.0485022068, 0.0032853694, -0.0603630878, -0.0000000000
3.8614611626, 3.0485022068, 0.0021704484, -0.0603630878, -0.0000000000
3.8714640141, 3.0485022068, 0.0021946067, -0.0603630878, -0.0000000000
3.8814661503, 3.0485022068, -0.0010890987, -0.0603630878, -0.0000000000
3.8914678097, 3.0485022068, 0.0011082279, -0.0602061152, -0.0000000000
3.9014682770, 3.0485022068, 0.0032896949, -0.0602061152, -0.0000000000
3.9114680290, 3.0485022068, 0.0010780303, -0.0601127408, -0.0000000000
3.9214692116, 3.0485022068, 0.0000130140, -0.0601127408, -0.0000000000
3.9314701557, 3.0485022068, 0.0000005804, -0.0597987883, -0.0000000000
3.9414725304, 3.0485022068, 0.0010798087, -0.0597987883, -0.0000000000
3.9514732361, 3.0485022068, 0.0000005675, -0.0595484339, -0.0000000000
3.9614729881, 3.0485022068, -0.0010908308, -0.0595484339, -0.0000000000
3.9714767933, 3.0485022068, 0.0032847153, -0.0595484339, -0.0000000000
3.9814777374, 3.0485022068, -0.0011024830, -0.0595484339, -0.0000000000
