time_sec,gamma_rad,dgamma_radps
5.9946951866, 3.0943720341, -0.0002517486
6.0046892166, 3.0943720341, 0.0009102083
6.0146389008, 3.0943856239, 0.0006952022
6.0246491432, 3.0943956375, 0.0016722454
6.0346469879, 3.0943956375, 0.0017647913
6.0446386337, 3.0943956375, -0.0005581171
6.0545930862, 3.0943856239, 0.0018384524
6.0645933151, 3.0943720341, -0.0020727187
6.0745797157, 3.0943720341, -0.0031282038
6.0845408440, 3.0943720341, -0.0027148954
6.0945305824, 3.0943856239, 0.0026933867
6.1045470238, 3.0943856239, 0.0009465599
6.1144766808, 3.0943856239, -0.0005756179
6.1244759560, 3.0943720341, -0.0021816615
6.1344766617, 3.0943720341, -0.0042505637
6.1444349289, 3.0943720341, -0.0030044485
6.1544260979, 3.0943720341, -0.0014472716
6.1644320488, 3.0943720341, 0.0011438688
6.1744351387, 3.0943720341, 0.0001060759
6.1843705177, 3.0943720341, 0.0015318388
6.1943788528, 3.0943720341, -0.0030359777
6.2043709755, 3.0943720341, 0.0017014655
6.2143173218, 3.0943720341, -0.0011615481
6.2243599892, 3.0943720341, 0.0008328075
6.2343640327, 3.0943720341, 0.0034316063
6.2443633080, 3.0943720341, -0.0003210821
6.2542657852, 3.0943620205, -0.0025242523
6.2642712593, 3.0943620205, -0.0020161262
6.2742729187, 3.0943620205, -0.0019630641
6.2842216492, 3.0943620205, -0.0001832228
6.2942242622, 3.0943720341, 0.0001768737
6.3042211533, 3.0943720341, -0.0003741200
6.3141899109, 3.0943620205, 0.0024420472
6.3242039680, 3.0943484306, 0.0019658401
6.3341741562, 3.0943484306, -0.0026091994
6.3441448212, 3.0943484306, 0.0004304861
6.3541169167, 3.0943584442, -0.0034846482
6.3640990257, 3.0943584442, -0.0016480703
6.3741002083, 3.0943584442, 0.0007341870
6.3841009140, 3.0943584442, 0.0013734911
6.3941020966, 3.0943484306, 0.0012496279
6.4041028023, 3.0943484306, -0.0034642746
6.4141063690, 3.0943484306, 0.0004954004
6.4241080284, 3.0943584442, 0.0039095152
6.4341077805, 3.0943720341, -0.0005218500
6.4441151619, 3.0943720341, -0.0003425907
6.4541139603, 3.0943720341, 0.0003172528
6.4641170502, 3.0943720341, 0.0013058370
6.4741168022, 3.0943584442, 0.0001973268
6.4841179848, 3.0943584442, 0.0006778982
6.4941172600, 3.0943584442, -0.0005749342
6.5041174889, 3.0943720341, 0.0009433194
6.5142145157, 3.0943720341, 0.0008189574
6.5242609978, 3.0943720341, 0.0013942335
6.5343389511, 3.0943720341, -0.0001414346
6.5443120003, 3.0943720341, -0.0015710267
6.5543799400, 3.0943720341, 0.0006675021
6.5643625259, 3.0943720341, -0.0031310578
6.5741319656, 3.0943720341, -0.0024105178
6.5846138000, 3.0943720341, -0.0002680441
6.5945601463, 3.0943720341, -0.0000530380
6.6046276093, 3.0943720341, -0.0004524959
6.6147103310, 3.0943720341, 0.0009632463
6.6246819496, 3.0943720341, 0.0010731515
6.6347546577, 3.0943720341, 0.0008189574
6.6448330879, 3.0943720341, -0.0002188354
6.6548924446, 3.0943720341, 0.0019451468
6.6648778915, 3.0943720341, 0.0025696317
6.6744494438, 3.0943720341, 0.0009809256
6.6850037575, 3.0943720341, 0.0002818941
6.6949877739, 3.0943720341, -0.0000215085
6.7050547600, 3.0943720341, 0.0001237553
6.7151374817, 3.0943720341, -0.0002188354
6.7251129150, 3.0943720341, 0.0010693222
6.7351760864, 3.0943720341, -0.0015256475
6.7452540398, 3.0943720341, -0.0019136175
6.7553234100, 3.0943720341, -0.0011085101
6.7653031349, 3.0943720341, 0.0000707173
6.7748689651, 3.0943720341, -0.0024850643
6.7854337692, 3.0943720341, -0.0032017753
6.7954320908, 3.0943720341, 0.0004056494
6.8055000305, 3.0943720341, -0.0011300185
6.8155679703, 3.0943720341, 0.0006421641
6.8256473541, 3.0943720341, 0.0014826301
