timestamp,theta_rad,gamma_rad,phi_rad,phi_rad/s,dgamma_radps,dphi_radps,gamma_deg
2.1360967,0.0910456255078316,3.0963892936706543,3.1415927410125732,0.0174532923847437,0.0021816615480930,-0.0000000000000000,177.4100341796875000
2.1503379,0.0908725336194038,3.0963859558105469,3.1384966373443604,-0.0203102752566338,0.0030630789697170,-0.0000000000000000,177.4098358154296875
2.1563377,0.0905264988541603,3.0964696407318115,3.1384966373443604,-0.0160499699413776,0.0006631730357185,-0.0000000000000000,177.4146270751953125
2.1662309,0.0903534740209579,3.0964660644531250,3.1388275623321533,-0.0206062793731689,-0.0051714512519538,-0.0000000000000000,177.4144287109375000
2.1767931,0.0901016145944595,3.0963802337646484,3.1388275623321533,-0.0191720854490995,-0.0033945138566196,-0.0097656250000000,177.4095153808593750
2.1865721,0.0899287015199661,3.0964672565460205,3.1388275623321533,-0.0213012974709272,-0.0054713818244636,-0.0136718750000000,177.4144897460937500
2.1962686,0.0897555947303772,3.0964636802673340,3.1388275623321533,-0.0202126111835241,-0.0054780575446784,-0.0097656250000000,177.4142913818359375
2.2063539,0.0897594168782234,3.0962905883789062,3.1388275623321533,-0.0116424420848489,-0.0069005936384201,-0.0117187500000000,177.4043731689453125
2.2164180,0.0897594168782234,3.0962905883789062,3.1388275623321533,-0.0064394702203572,-0.0106854801997542,-0.0058593750000000,177.4043731689453125
2.2261579,0.0897594168782234,3.0962905883789062,3.1388275623321533,-0.0041612461209297,-0.0061348993331194,-0.0019531250000000,177.4043731689453125
2.2361085,0.0897594168782234,3.0962905883789062,3.1388275623321533,0.0042600464075804,-0.0045772581361234,-0.0058593750000000,177.4043731689453125
2.2458980,0.0899325162172318,3.0962941646575928,3.1388275623321533,0.0074797812849283,-0.0068703335709870,-0.0097656250000000,177.4045715332031250
2.2559688,0.0899325162172318,3.0962941646575928,3.1388275623321533,0.0127307688817382,-0.0040138033218682,-0.0000000000000000,177.4045715332031250
2.2661521,0.0900151953101158,3.0962939262390137,3.1388275623321533,0.0096098221838474,-0.0069781360216439,-0.0039062500000000,177.4045715332031250
2.2758665,0.0900151953101158,3.0962939262390137,3.1388275623321533,0.0116904517635703,-0.0039116740226746,-0.0058593750000000,177.4045715332031250
